Front,Back
I’m opening the door.,Ich öffne die Tür.
I’m closing the door.,Ich schließe die Tür.
I’m starting that.,Ich starte das.
I’m stopping that.,Ich stoppe das.
I’m using that.,Ich benutze das.
I want to open the door.,Ich will die Tür öffnen.
I have to stop that.,Ich muss das stoppen.
I can start that.,Ich kann das starten.
I want to use that.,Ich will das benutzen.
I can close the door.,Ich kann die Tür schließen.
I open …,Ich öffne …
I close …,Ich schließe …
I start …,Ich starte …
I stop …,Ich stoppe …
I use …,Ich benutze …
